dr_no,date_rptd,date_occ,time_occ,hour,day_of_week,month,year,is_weekend,area_name,crm_cd_desc,vict_age,vict_sex,weapon_desc,status_desc,lat,lon
220913048,2022-08-26,2022-08-25,800,8,Thursday,8,2022,0,Van Nuys,"BUNCO, GRAND THEFT",33,M,,Invest Cont,34.203,-118.4575
221217495,2022-07-18,2022-07-02,1,0,Saturday,7,2022,1,77th Street,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",66,M,,Invest Cont,33.9836,-118.3265
231506828,2023-03-08,2023-03-08,2000,20,Wednesday,3,2023,0,N Hollywood,BATTERY WITH SEXUAL CONTACT,22,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.1689,-118.3771
222007747,2022-03-06,2022-03-06,8,0,Sunday,3,2022,1,Olympic,THEFT OF IDENTITY,32,M,,Invest Cont,34.0636,-118.2966
202015969,2020-10-16,2020-10-16,1210,12,Friday,10,2020,0,Olympic,ROBBERY,53,M,HAND GUN,Adult Arrest,34.0525,-118.3163
221605800,2022-02-25,2022-02-19,1900,19,Saturday,2,2022,1,Foothill,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25,M,,Invest Cont,34.2736,-118.4321
240804134,2024-01-04,2023-12-03,730,7,Sunday,12,2023,1,West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,,Invest Cont,34.0345,-118.451
231422333,2023-12-28,2023-12-28,1230,12,Thursday,12,2023,0,Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",35,F,,Invest Cont,34.0284,-118.3959
240904572,2024-01-17,2024-01-17,1045,10,Wednesday,1,2024,0,Van Nuys,BATTERY - SIMPLE ASSAULT,49,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.1766,-118.4465
231816859,2023-09-23,2023-09-23,1000,10,Saturday,9,2023,1,Southeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,27,M,VERBAL THREAT,Invest Cont,33.9438,-118.2717
231309630,2023-04-23,2023-04-23,1000,10,Sunday,4,2023,1,Newton,ROBBERY,19,M,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,34.0007,-118.2653
202006997,2020-03-04,2020-03-03,2230,22,Tuesday,3,2020,0,Olympic,VEHICLE - STOLEN,0,,,Invest Cont,34.0598,-118.2904
241304322,2024-01-07,2024-01-07,1610,16,Sunday,1,2024,1,Newton,BATTERY - SIMPLE ASSAULT,52,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,33.986,-118.2783
200214832,2020-09-08,2020-09-08,1950,19,Tuesday,9,2020,0,Rampart,BATTERY - SIMPLE ASSAULT,36,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.0628,-118.2811
211821150,2021-12-05,2021-12-05,2050,20,Sunday,12,2021,1,Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,F,SEMI-AUTOMATIC PISTOL,Invest Cont,33.9188,-118.283
230318282,2023-10-11,2022-05-31,715,7,Tuesday,5,2022,0,Southwest,OTHER MISCELLANEOUS CRIME,31,F,,Invest Cont,34.0109,-118.3002
220508452,2022-04-19,2022-04-19,900,9,Tuesday,4,2022,0,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,46,M,VERBAL THREAT,Adult Other,33.7753,-118.2456
242105993,2024-02-18,2024-02-18,1900,19,Sunday,2,2024,1,Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,34.1667,-118.5908
230600865,2023-08-16,2023-08-16,2248,22,Wednesday,8,2023,0,Hollywood,ROBBERY,0,M,HAND GUN,Adult Arrest,34.1036,-118.3049
200214014,2020-08-20,2020-08-19,1600,16,Wednesday,8,2020,0,Rampart,VIOLATION OF RESTRAINING ORDER,28,F,,Adult Other,34.0574,-118.2733
200909822,2020-05-18,2020-04-22,1600,16,Wednesday,4,2020,0,Van Nuys,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),43,M,,Invest Cont,34.156,-118.4662
240807682,2024-04-08,2024-02-09,1100,11,Friday,2,2024,0,West LA,THEFT PLAIN - PETTY ($950 & UNDER),32,M,,Invest Cont,34.1126,-118.4441
231709538,2023-05-10,2023-05-08,2330,23,Monday,5,2023,0,Devonshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),43,M,,Invest Cont,34.2938,-118.5048
211804419,2021-01-09,2021-01-08,2230,22,Friday,1,2021,0,Southeast,VEHICLE - STOLEN,0,,,Invest Cont,33.9362,-118.2417
221211241,2022-05-03,2022-05-03,2140,21,Tuesday,5,2022,0,77th Street,BRANDISH WEAPON,30,M,OTHER KNIFE,Adult Arrest,33.9987,-118.2893
221207556,2022-03-07,2022-03-07,1124,11,Monday,3,2022,0,77th Street,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",50,F,SEMI-AUTOMATIC PISTOL,Invest Cont,33.96,-118.3178
230504158,2023-01-04,2023-01-02,600,6,Monday,1,2023,0,Harbor,THEFT OF IDENTITY,35,F,,Invest Cont,33.7968,-118.2999
241705109,2024-01-29,2024-01-27,1850,18,Saturday,1,2024,1,Devonshire,CRIMINAL HOMICIDE,53,M,HAND GUN,Adult Other,34.2823,-118.5231
231916491,2023-11-10,2023-11-10,530,5,Friday,11,2023,0,Mission,VEHICLE - STOLEN,0,,,Invest Cont,34.3197,-118.4838
201014779,2020-11-05,2020-11-05,1625,16,Thursday,11,2020,0,West Valley,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,,Invest Cont,34.1613,-118.4917
230512591,2023-08-23,2023-08-23,130,1,Wednesday,8,2023,0,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,M,UNKNOWN FIREARM,Invest Cont,33.7853,-118.2464
200217390,2020-11-14,2020-11-13,2330,23,Friday,11,2020,0,Rampart,BURGLARY,0,X,,Invest Cont,34.0714,-118.2506
220615640,2022-09-06,2022-09-06,230,2,Tuesday,9,2022,0,Hollywood,BRANDISH WEAPON,60,M,OTHER KNIFE,Invest Cont,34.0844,-118.3222
231511871,2023-07-05,2023-06-26,1710,17,Monday,6,2023,0,N Hollywood,THEFT OF IDENTITY,55,F,,Invest Cont,34.145,-118.3702
221404217,2022-01-01,2022-01-01,1245,12,Saturday,1,2022,1,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36,M,,Invest Cont,33.9455,-118.4001
212112812,2021-08-19,2021-08-19,1735,17,Thursday,8,2021,0,Topanga,VIOLATION OF RESTRAINING ORDER,36,M,,Adult Other,34.1829,-118.5928
231015149,2023-08-28,2023-07-31,1535,15,Monday,7,2023,0,West Valley,THEFT OF IDENTITY,22,F,,Invest Cont,34.2085,-118.4749
211006440,2021-03-22,2021-03-22,330,3,Monday,3,2021,0,West Valley,INTIMATE PARTNER - SIMPLE ASSAULT,31,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.1975,-118.5273
201205865,2020-01-27,2020-01-27,700,7,Monday,1,2020,0,77th Street,THEFT PLAIN - PETTY ($950 & UNDER),0,X,,Invest Cont,33.9833,-118.2827
210712367,2021-08-23,2021-08-23,1400,14,Monday,8,2021,0,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),22,F,,Invest Cont,34.0471,-118.3371
221414149,2022-07-23,2022-07-22,2020,20,Friday,7,2022,0,Pacific,ATTEMPTED ROBBERY,31,F,HAND GUN,Invest Cont,34.0227,-118.4057
231421758,2023-11-15,2023-11-15,458,4,Wednesday,11,2023,0,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",63,M,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,33.9455,-118.4001
222009159,2022-04-28,2022-04-28,821,8,Thursday,4,2022,0,Olympic,ATTEMPTED ROBBERY,58,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,34.04,-118.2916
231715765,2023-09-28,2023-09-28,150,1,Thursday,9,2023,0,Devonshire,BURGLARY,0,,HAMMER,Invest Cont,34.2355,-118.5574
200505472,2020-02-05,2020-02-04,2000,20,Tuesday,2,2020,0,Harbor,BURGLARY,0,M,,Invest Cont,33.7745,-118.2568
222110206,2022-06-07,2022-06-07,300,3,Tuesday,6,2022,0,Topanga,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,M,,Invest Cont,34.2011,-118.5928
230617415,2023-11-04,2023-11-04,1145,11,Saturday,11,2023,1,Hollywood,ROBBERY,0,X,SCREWDRIVER,Invest Cont,34.1001,-118.3092
211404011,2021-01-01,2020-12-31,2300,23,Thursday,12,2020,0,Pacific,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",24,F,,Invest Cont,33.9944,-118.4792
200104578,2020-01-09,2020-01-07,2350,23,Tuesday,1,2020,0,Central,TRESPASSING,36,M,,Invest Cont,34.0493,-118.2418
211811068,2021-05-26,2021-05-24,2200,22,Monday,5,2021,0,Southeast,VEHICLE - STOLEN,0,,,Invest Cont,33.9265,-118.2739
201422189,2020-12-26,2020-12-26,1340,13,Saturday,12,2020,1,Pacific,BURGLARY,43,M,,Adult Arrest,33.9836,-118.4673
210304340,2021-01-07,2020-12-30,1700,17,Wednesday,12,2020,0,Southwest,CHILD ANNOYING (17YRS & UNDER),16,F,,Invest Cont,34.023,-118.351
232009127,2023-05-02,2023-02-03,2000,20,Friday,2,2023,0,Olympic,BURGLARY FROM VEHICLE,32,F,,Invest Cont,34.0799,-118.3181
201815208,2020-08-07,2020-08-07,1820,18,Friday,8,2020,0,Southeast,THEFT PLAIN - PETTY ($950 & UNDER),58,M,,Invest Cont,33.9324,-118.2916
202104521,2020-01-11,2020-01-11,2315,23,Saturday,1,2020,1,Topanga,TRESPASSING,30,M,,Invest Cont,34.1681,-118.5986
211215018,2021-07-03,2021-07-03,900,9,Saturday,7,2021,1,77th Street,ROBBERY,18,F,SEMI-AUTOMATIC PISTOL,Adult Other,33.9551,-118.3007
231210687,2023-04-23,2023-04-23,1420,14,Sunday,4,2023,1,77th Street,ROBBERY,30,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,33.9824,-118.2827
220611813,2022-06-16,2022-06-06,1500,15,Monday,6,2022,0,Hollywood,DOCUMENT FORGERY / STOLEN FELONY,0,X,,Invest Cont,34.1198,-118.3517
240405890,2024-02-27,2024-02-25,100,1,Sunday,2,2024,1,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,Invest Cont,34.072,-118.2078
201300587,2020-03-01,2020-03-01,35,0,Sunday,3,2020,1,Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21,M,HAND GUN,Adult Arrest,34.0401,-118.2459
221813129,2022-06-22,2022-06-17,1600,16,Friday,6,2022,0,Southeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",65,F,,Invest Cont,33.9343,-118.2407
221501205,2022-12-18,2022-12-17,1805,18,Saturday,12,2022,1,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,KNIFE WITH BLADE 6INCHES OR LESS,Adult Arrest,34.1958,-118.3921
201215296,2020-06-24,2020-06-24,1400,14,Wednesday,6,2020,0,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",66,M,AIR PISTOL/REVOLVER/RIFLE/BB GUN,Invest Cont,33.9889,-118.344
230609382,2023-05-05,2023-05-05,915,9,Friday,5,2023,0,Hollywood,TRESPASSING,0,X,,Invest Cont,34.1016,-118.3246
231207809,2023-03-04,2023-03-04,1020,10,Saturday,3,2023,1,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,HAMMER,Adult Arrest,33.9696,-118.2739
200510790,2020-06-19,2020-06-18,2000,20,Thursday,6,2020,0,Harbor,BURGLARY,0,X,,Invest Cont,33.7452,-118.3043
231212886,2023-05-27,2023-05-27,1700,17,Saturday,5,2023,1,77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,0,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,33.965,-118.2761
221515823,2022-10-06,2022-10-06,1950,19,Thursday,10,2022,0,N Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,,Adult Other,34.2012,-118.4182
201305088,2020-01-20,2020-01-20,1153,11,Monday,1,2020,0,Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,Adult Other,33.9993,-118.2696
200316843,2020-08-26,2020-08-25,1940,19,Tuesday,8,2020,0,Southwest,THEFT OF IDENTITY,23,F,,Invest Cont,34.0126,-118.3403
220405970,2022-03-01,2022-02-12,900,9,Saturday,2,2022,1,Hollenbeck,THEFT PLAIN - PETTY ($950 & UNDER),48,F,,Invest Cont,34.1105,-118.179
220512356,2022-08-09,2022-08-01,12,0,Monday,8,2022,0,Harbor,THEFT OF IDENTITY,37,F,,Invest Cont,33.786,-118.3021
211810596,2021-05-15,2021-05-15,1530,15,Saturday,5,2021,1,Southeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,55,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,33.9537,-118.2757
201821361,2020-11-30,2020-11-29,1730,17,Sunday,11,2020,1,Southeast,VEHICLE - STOLEN,0,,,Invest Cont,33.9144,-118.2894
221222892,2022-11-03,2022-11-03,1245,12,Thursday,11,2022,0,77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,46,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,33.96,-118.2985
211208696,2021-03-16,2021-03-16,2200,22,Tuesday,3,2021,0,77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,29,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,33.9872,-118.3277
200414346,2020-10-27,2020-10-27,855,8,Tuesday,10,2020,0,Hollenbeck,BURGLARY FROM VEHICLE,0,M,,Invest Cont,34.0222,-118.2201
220120919,2022-09-19,2022-09-19,315,3,Monday,9,2022,0,Central,BURGLARY FROM VEHICLE,23,F,,Invest Cont,34.0457,-118.2665
241004539,2024-01-15,2024-01-13,1507,15,Saturday,1,2024,1,West Valley,THEFT PLAIN - PETTY ($950 & UNDER),42,F,,Adult Arrest,34.2084,-118.5387
220215189,2022-08-23,2022-07-20,2200,22,Wednesday,7,2022,0,Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",22,M,,Invest Cont,34.0506,-118.2769
202115896,2020-11-12,2020-11-06,1400,14,Friday,11,2020,0,Topanga,THEFT PLAIN - PETTY ($950 & UNDER),18,M,,Invest Cont,34.2029,-118.5943
220610335,2022-05-15,2022-05-15,400,4,Sunday,5,2022,1,Hollywood,VIOLATION OF COURT ORDER,46,M,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,34.0996,-118.3206
221210052,2022-04-15,2022-04-15,2115,21,Friday,4,2022,0,77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,39,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,33.9806,-118.3158
200908788,2020-04-22,2020-04-22,1500,15,Wednesday,4,2020,0,Van Nuys,INTIMATE PARTNER - SIMPLE ASSAULT,64,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,34.1857,-118.4422
232109102,2023-05-14,2023-05-13,1820,18,Saturday,5,2023,1,Topanga,SHOPLIFTING - PETTY THEFT ($950 & UNDER),22,M,,Invest Cont,34.1665,-118.5859
201215967,2020-07-05,2020-07-05,1215,12,Sunday,7,2020,1,77th Street,OTHER MISCELLANEOUS CRIME,0,X,,Adult Arrest,33.9798,-118.2827
230210157,2023-05-05,2023-05-05,1845,18,Friday,5,2023,0,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33,M,HAND GUN,Invest Cont,34.0634,-118.2807
230716179,2023-10-23,2023-10-23,645,6,Monday,10,2023,0,Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,M,HAND GUN,Invest Cont,34.0872,-118.3574
231706775,2023-03-10,2023-03-07,400,4,Tuesday,3,2023,0,Devonshire,BURGLARY,77,M,,Invest Cont,34.2246,-118.5579
